n,VecSize,sim,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,MSE
1,1,0,3.8491329178214073,50.36918306723237,4.876381950452924,10.776732116937637,4.491080064326525,0.1197990495711565,1.0951307444751052e-08
1,1,1,3.789016976952553,41.56344081275165,4.677606979385018,9.811399038881063,4.3384479358792305,0.12751086615025997,1.2713417346447766e-07
1,1,2,3.8733631372451782,41.38035187497735,4.753065994009376,10.157614946365356,4.376376047730446,0.12185587547719479,3.826320475993002e-08
1,1,3,3.237099153921008,43.190920958295465,4.622488981112838,9.910705965012312,4.26619197241962,0.11823815293610096,2.7570144914114425e-07
1,1,4,3.813232062384486,41.311101987957954,4.796796012669802,9.752392070367932,4.3898760341107845,0.11436897329986095,1.4264182611225933e-07
1,1,5,2.873245859518647,43.062475975602865,4.3740898836404085,9.843615116551518,5.01091405749321,0.12773694470524788,4.488701831766755e-08
1,1,6,4.318958846852183,41.18010890670121,4.805359058082104,9.896834846585989,4.488303093239665,0.12599187903106213,1.1680234272412558e-06
1,1,7,4.307447001338005,41.25218605622649,4.549455130472779,9.76759591139853,4.463447956368327,0.12509291991591454,3.589330356744546e-08
1,1,8,3.793545998632908,40.128111839294434,4.453086061403155,9.874369017779827,4.671402974054217,0.1176600344479084,4.1256510444883436e-07
1,1,9,3.8237120024859905,42.01102792285383,4.760689800605178,9.88958915695548,4.12941793911159,0.10805297642946243,4.3504419462952304e-08
1,1,10,3.790518967434764,44.03951996937394,4.409929970279336,9.76931513287127,4.4315040577203035,0.11455710045993328,1.7194284278323197e-08
1,1,11,2.5860730092972517,41.89028707332909,4.750730004161596,9.805616922676563,4.221568116918206,0.10681711137294769,1.3104249371852432e-07
1,1,12,4.087614826858044,43.163354974240065,4.885125206783414,9.912136010825634,4.2795848567038774,0.10735704563558102,1.8738246450193893e-08
1,1,13,3.796141827479005,40.66620604135096,4.519890062510967,9.494738187640905,4.392459988594055,0.11516292579472065,3.3663768822133776e-09
1,1,14,3.8105209823697805,43.17675600759685,4.491004161536694,9.56586585380137,4.752057837322354,0.11288002133369446,6.661068119248351e-09
1,1,15,3.8010599091649055,40.036870865151286,4.624038934707642,9.69253689981997,4.300145898014307,0.11640717275440693,1.400707063034535e-07
1,1,16,3.7875790148973465,42.35227010212839,4.685714840888977,9.839582024142146,4.419656936079264,0.10696006938815117,1.2492065059006245e-06
1,1,17,4.898908082395792,44.688367983326316,4.845695802941918,9.965843986719847,4.236695123836398,0.11546583846211433,1.2928697518475525e-07
1,1,18,3.7759998813271523,41.810184018686414,5.132729187607765,9.671308798715472,4.226387944072485,0.11204509064555168,2.3560954421748584e-08
1,1,19,3.7972149439156055,40.77649815008044,4.420069977641106,9.482100838795304,4.478532122448087,0.10621314868330956,4.906049493262929e-07
1,1,20,3.8017069455236197,44.21212198212743,4.725135862827301,9.856495074927807,4.1589990723878145,0.11892314068973064,1.7123766163119363e-07
1,1,21,3.7833659444004297,40.680160978809,4.588204901665449,9.886306943371892,4.295305116102099,0.10554003529250622,2.891010197665525e-08
1,1,22,3.8272379897534847,43.46861597150564,4.847877891734242,9.986176853999496,4.3230371084064245,0.11731893755495548,3.170064203865087e-07
1,1,23,3.8310580421239138,42.77265700511634,4.626024980098009,9.73697192966938,4.59359516389668,0.11299597099423409,2.0664786312541246e-07
1,1,24,3.8816500455141068,44.219027971848845,4.545853938907385,9.94608411565423,4.524193005636334,0.13306294567883015,3.6071047490632285e-07
1,1,25,3.8194579537957907,42.6298389211297,4.532952094450593,9.19035286642611,4.230346996337175,0.11677108705043793,8.457075751173703e-07
