n,VecSize,sim,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,MSE
1,1,0,3.824908984825015,48.76021691597998,4.981583915650845,11.176693951711059,4.369568079710007,0.11822092346847057,1.4184445685249022e-07
1,1,1,2.354915952309966,22.796876030042768,5.003574071452022,9.807924972847104,4.701701924204826,0.12948480434715748,3.5326373230075113e-07
1,1,2,3.8019721396267414,28.324371902272105,5.671240855008364,9.377055102959275,4.205319099128246,0.10292697697877884,2.5302358826767797e-14
1,1,3,3.7709451280534267,28.710687067359686,5.715426057577133,9.690751088783145,4.331785952672362,0.11750520206987858,3.69862926556456e-07
1,1,4,3.784824861213565,27.83069503493607,5.5144929792732,9.685295866802335,4.291580058634281,0.10607205331325531,1.0072005547233841e-07
1,1,5,2.0425620023161173,23.894303012639284,4.680620040744543,9.853227995336056,4.230167018249631,0.1061710063368082,2.9297177253714587e-07
1,1,6,2.5279358960688114,24.735186947509646,4.620505031198263,9.754193015396595,4.2856731452047825,0.11139502748847008,2.867418586153709e-07
1,1,7,3.7919990718364716,29.15051393210888,5.394272040575743,9.672051994130015,4.371556919068098,0.10465085506439209,9.576954660728804e-07
1,1,8,3.7890621460974216,28.40839815326035,5.251328926533461,9.539460996165872,4.307102179154754,0.10508298873901367,2.384250231791021e-09
1,1,9,3.7876081187278032,26.492316974326968,4.70101204700768,9.533774806186557,4.169024061411619,0.11184695176780224,8.34112086955523e-10
1,1,10,3.8178011309355497,29.137823032215238,5.771530093625188,9.803517954424024,4.285251023247838,0.11327117681503296,1.1545824259273275e-07
1,1,11,3.570958971977234,27.34231506474316,4.766055848449469,10.193377966061234,4.637831123545766,0.12297206558287144,2.5708292964910444e-07
1,1,12,3.8231529761105776,29.959659092128277,5.260576028376818,10.453623021021485,4.423193167895079,0.10488508269190788,2.139784591864542e-08
1,1,13,3.796858014538884,26.220246916636825,4.863630048930645,9.813222801312804,4.252355080097914,0.10862410999834538,2.3050538959874344e-07
1,1,14,2.3352650459855795,23.098265985026956,5.084100877866149,10.191384004428983,4.35220287181437,0.12053502723574638,5.1340296431690835e-08
1,1,15,3.792986972257495,29.996603960171342,5.3759790025651455,9.85621684230864,4.39681694842875,0.1211198978126049,3.0135733783435776e-07
1,1,16,3.7969478871673346,29.276435961946845,4.705983912572265,10.138785932213068,4.584379028528929,0.11789286509156227,3.0479417034366484e-08
1,1,17,3.883525962010026,26.941803051158786,4.7332290560007095,9.759115055203438,4.713981179520488,0.12975209392607212,3.574410432857214e-07
1,1,18,3.758249105885625,26.172549929469824,5.215827142819762,10.2172140032053,4.4118252117186785,0.11168979108333588,2.9049639219890524e-08
1,1,19,2.5080270133912563,24.413370992988348,5.4856580682098866,9.966093115508556,4.29148692637682,0.10471907444298267,1.1725297694671451e-10
1,1,20,2.8351829387247562,26.289174798876047,5.427679978311062,10.037176078185439,4.405956948176026,0.1180057879537344,1.1638616664167362e-07
1,1,21,3.945212811231613,29.179367003962398,5.398015957325697,10.045534931123257,4.596418002620339,0.11062296107411385,1.7676222685679342e-07
1,1,22,3.8890040013939142,27.21051499247551,4.976642085239291,10.226804995909333,4.495139932259917,0.11799810454249382,2.8977463212603845e-07
1,1,23,3.3570360392332077,28.452363796532154,5.700798938050866,10.010044788941741,4.293682985007763,0.11930218897759914,5.5251218115138644e-08
1,1,24,3.944308962672949,25.86402604356408,4.768448881804943,9.854602161794901,4.497432848438621,0.12232782319188118,6.320935958699967e-07
1,1,25,3.8163550198078156,29.017940163612366,5.5248551070690155,10.202473029494286,4.815744934603572,0.11389097198843956,2.1405126073700496e-07
1,1,26,3.799977945163846,25.63792490400374,4.517993191257119,9.634880814701319,4.543292103335261,0.11006486602127552,8.362218244752747e-07
1,1,27,3.809659043326974,27.0101020578295,4.675816977396607,9.86878713592887,4.659918136894703,0.10621617548167706,2.196692332378011e-07
1,1,28,3.7774620577692986,28.062468860298395,4.998166114091873,10.061407927423716,4.360318882390857,0.1173289492726326,9.876618946588017e-08
1,1,29,3.8168670143932104,26.036821072921157,5.035168025642633,9.40040498971939,4.149438114836812,0.10634795762598515,1.455382155631608e-09
1,1,30,3.8681048899888992,28.44613208435476,4.935543052852154,9.781386004760861,4.142156103625894,0.11029397137463093,3.295077667407712e-09
1,1,31,3.9748831186443567,27.078381972387433,5.014513153582811,10.179095901548862,4.185293102636933,0.10797684080898762,1.3729116293548636e-07
1,1,32,3.794172080233693,28.575639007613063,5.73183479718864,10.073927929624915,4.727459046989679,0.11030584573745728,9.015247297261761e-07
1,1,33,3.8025870453566313,26.89926093444228,4.592241952195764,9.792397962883115,4.4611121993511915,0.10873307473957539,6.507422388577909e-08
1,1,34,3.7968119140714407,29.454763047397137,5.240056896582246,9.713025065138936,4.602732136845589,0.11689099483191967,6.79465617561258e-07
1,1,35,3.3663399517536163,27.14014914818108,5.440453998744488,10.09479514323175,4.680015845224261,0.12623402290046215,1.091494447097105e-07
1,1,36,3.8220828864723444,27.185765095055103,5.242663901299238,10.180554119870067,4.479056922718883,0.11793919838964939,4.0933347788475946e-07
1,1,37,3.8717598654329777,28.73007790185511,5.568902008235455,10.097017046064138,4.637568024918437,0.10936497710645199,1.1129542949311243e-07
1,1,38,3.834113012999296,29.512578155845404,5.341632990166545,10.006576078012586,4.338999046012759,0.1169650349766016,1.3732742374175824e-07
1,1,39,3.6941911093890667,27.764765080064535,4.796719877049327,9.87508799880743,4.731061868369579,0.1170129980891943,1.1713077361164636e-08
1,1,40,3.8210779894143343,27.080953121185303,4.5966648031026125,10.021148947998881,4.616998136043549,0.10751700028777122,2.3645868616787435e-07
1,1,41,3.767899004742503,27.772966073825955,5.32249896787107,9.950879029929638,4.187119891867042,0.10825600475072861,9.476325927183762e-07
1,1,42,3.8182379212230444,28.78589415922761,5.392936989665031,9.760208195075393,4.322835011407733,0.10745087638497353,4.24202963993563e-07
1,1,43,3.8086080458015203,26.143717113882303,4.745897138491273,9.775625076144934,4.2157091666013,0.11222087778151035,1.0362771285101063e-06
1,1,44,2.3796309251338243,27.12858095765114,5.424518836662173,9.532174095511436,4.361061146482825,0.11453102342784405,1.447444031852557e-07
1,1,45,3.805065993219614,28.102627955377102,5.118245957419276,9.561671875417233,4.187294980511069,0.10642805136740208,2.111898815952332e-07
1,1,46,3.804390085861087,28.2928510569036,5.1651569083333015,9.50933899730444,4.253213061019778,0.11653616093099117,9.680800722273684e-08
1,1,47,3.772864118218422,28.83805800229311,5.623087985441089,9.487004019320011,4.202540032565594,0.11911988258361816,3.770140798384135e-10
1,1,48,3.829292021691799,27.66735781915486,4.965275060385466,10.187176056206226,4.163224948570132,0.10955194011330605,1.419648294483345e-07
1,1,49,2.7640601620078087,26.269148103892803,5.102250957861543,9.972314117476344,4.644016036763787,0.10914402082562447,2.769434648842203e-07
1,1,50,3.7851049564778805,26.578604010865092,5.239736987277865,10.257012909278274,4.1499941144138575,0.10627391748130322,3.9881818732254346e-08
1,1,51,3.806944005191326,25.572021957486868,5.021773977205157,9.753885911777616,4.2301330249756575,0.10769907385110855,7.139555251206511e-07
1,1,52,3.86356795206666,29.52223620377481,5.074786022305489,10.461133904755116,4.671231145039201,0.1296219415962696,9.926290437700087e-08
1,1,53,3.6473001819103956,27.99752214923501,5.231234012171626,11.19908015243709,4.727201070636511,0.12879911810159683,4.651077983956441e-08
1,1,54,2.7996529825031757,24.215382989495993,5.038511008024216,10.373299941420555,5.118699045851827,0.13403617776930332,1.5484848590603662e-08
1,1,55,3.829807974398136,25.64535499550402,4.667444154620171,10.129840113222599,4.527853801846504,0.12400397099554539,3.011428754022207e-07
1,1,56,3.358205081894994,25.011979043483734,4.552043974399567,10.052322875708342,4.536127205938101,0.11479086242616177,4.912280600789464e-09
1,1,57,3.9167359936982393,29.587517026811838,5.501661915332079,10.270398110151291,4.4222630094736814,0.1093719620257616,1.40475272277048e-06
1,1,58,3.959994064643979,26.16288885474205,4.9508498050272465,10.565909091383219,4.735021851956844,0.21172105334699154,1.6091447855485345e-10
1,1,59,3.262688871473074,27.45416504330933,4.746205871924758,10.083565022796392,4.518743837252259,0.10883016511797905,1.876106656407814e-09
1,1,60,3.867895808070898,29.72313202917576,5.830852081999183,10.167156113311648,4.169460153207183,0.12373109348118305,4.797745270871886e-07
1,1,61,2.8939670883119106,28.385663172230124,5.0590618047863245,9.972631931304932,4.711792105808854,0.11719902977347374,8.789099556834314e-08
1,1,62,3.496795892715454,28.69820618070662,5.48345991410315,9.754381142556667,4.342866130173206,0.12514297850430012,1.0045602556383257e-07
1,1,63,3.931251121684909,29.382496839389205,5.6202891282737255,10.382489068433642,4.164435202255845,0.10796310380101204,2.5778721460568847e-07
1,1,64,3.6705899983644485,27.43447688408196,4.88757505081594,10.096065932884812,4.175399895757437,0.2255698200315237,1.5290930193410443e-09
1,1,65,3.857427043840289,27.55132387392223,4.533510887995362,9.940004907548428,4.308325005695224,0.12845895253121853,4.777000151595433e-07
1,1,66,2.592956880107522,27.124222135171294,5.52582205273211,9.924998972564936,4.547025077044964,0.12400094419717789,2.6208384359740354e-07
1,1,67,3.858288051560521,26.77704906091094,4.953278927132487,10.023845126852393,4.544703057035804,0.10973401367664337,1.5441131642367037e-07
1,1,68,3.87760391458869,29.43625394254923,5.801117047667503,9.84740280546248,4.1778848972171545,0.10608811862766743,2.2871816619457987e-08
